Isin,Name,Asset,Region,Volatility,Strategy
IE00B1TXHL60,iShares Listed Private Equity UCITS ETF USD (Dist),Equity,World,20.27,Long-only
IE00B0M62S72,iShares Euro Dividend UCITS ETF,Equity,Europe,15.65,Long-only
LU0629460675,UBS ETF (LU) MSCI EMU Socially Responsible UCITS ETF (EUR) A-dis,Equity,Europe,16.47,Long-only
IE00BMW42306,iShares MSCI Europe Financials Sector UCITS ETF EUR (Acc),Equity,Europe,18.79,Long-only
DE000A0Q4R36,iShares STOXX Europe 600 Health Care UCITS ETF (DE),Equity,Europe,13.94,Long-only
IE00BMP3HN93,UBS ETF (IE) MSCI UK IMI Socially Responsible UCITS ETF (GBP) A-dis,Equity,,14.94,Long-only
LU2008761053,BNP Paribas Easy EUR Corporate Bond SRI PAB 3-5Y UCITS ETF,Bonds,Europe,4.15,Long-only
LU1615092217,BNP Paribas Easy MSCI World SRI S-Series PAB 5% Capped UCITS ETF EUR Acc,Equity,World,15.42,Long-only
IE00B86MWN23,iShares Edge MSCI Europe Minimum Volatility UCITS ETF,Equity,Europe,11.08,Long-only
IE00B7K93397,UBS ETF (IE) S&P 500 UCITS ETF (USD) A-dis,Equity,,18.19,Long-only
LU1079841273,Ossiam Shiller Barclays CAPE® US Sector Value TR UCITS ETF 1C (EUR),Equity,,18.33,Long-only
IE00BZ6V7883,iShares US Mortgage Backed Securities UCITS ETF,Bonds,,10.91,Long-only
IE00BYYHSQ67,iShares MSCI World Quality Dividend ESG UCITS ETF USD (Dist),Equity,World,12.23,Long-only
IE00BWBXM492,SPDR S&P US Energy Select Sector UCITS ETF,Equity,,26.8,Long-only
FR0010261198,Amundi MSCI Europe II UCITS ETF Acc,Equity,Europe,15.07,Long-only
IE00BJ5JNZ06,iShares MSCI World Health Care Sector ESG UCITS ETF USD (Dist),Equity,World,13.89,Long-only
IE00BCRY6003,iShares USD Short Duration High Yield Corporate Bond UCITS ETF,Bonds,World,7.83,Long-only
IE00BZ036H21,Xtrackers USD Corporate Bonds UCITS ETF 1D,Bonds,World,11.57,Long-only
LU0533033238,Amundi MSCI World Health Care UCITS ETF EUR Acc,Equity,World,12.72,Long-only
IE00B42NKQ00,iShares S&P 500 Energy Sector UCITS ETF (Acc),Equity,,27.28,Long-only
IE00BMFKG444,Xtrackers Nasdaq 100 UCITS ETF 1C,Equity,,24.24,Long-only
LU0514695690,Xtrackers MSCI China UCITS ETF 1C,Equity,,26.71,Long-only
NL0010408704,VanEck Sustainable World Equal Weight UCITS ETF A,Equity,World,11.43,Long-only
IE00B1TXLS18,iShares UK Property UCITS ETF,Real Estate,,23.7,Long-only
IE00BHZPHZ28,iShares MSCI EMU ESG Enhanced UCITS ETF EUR (Dist),Equity,Europe,16.54,Long-only
IE000PEAJOT0,Amundi MSCI USA ESG Leaders UCITS ETF Acc,Equity,,18.55,Long-only
IE00B7LGZ558,iShares France Government Bond UCITS ETF,Bonds,,7.5,Long-only
IE00BKY40J65,HSBC USA Sustainable Equity UCITS ETF USD,Equity,,17.26,Long-only
IE00BDQZN774,UBS ETF (IE) MSCI ACWI ESG Universal UCITS ETF (hedged to CHF) A-acc,Equity,World,15.89,Long-only
IE00B74DQ490,iShares Global High Yield Corporate Bond UCITS ETF,Bonds,World,7.32,Long-only
IE00B3W74078,SPDR Bloomberg UK Gilt UCITS ETF,Bonds,,13.29,Long-only
CH1114873776,21Shares Solana Staking ETP,Cryptocurrencies,,105.09,Long-only
LU1737653987,Amundi Index Euro Corporate SRI UCITS ETF DR (D),Bonds,World,4.64,Long-only
FR0010524777,Amundi MSCI New Energy ESG Screened UCITS ETF Dist,Equity,World,24.4,Long-only
LU1109942653,Xtrackers EUR High Yield Corporate Bond UCITS ETF 1D,Bonds,World,4.91,Long-only
